date,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car,Station Name,Latitude,Longitude,Elevation
2021-02-27,20.7,27.3,23.7,86.0,22.0,4.0,2.0,360.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2021-01-03,21.2,27.6,24.3,85.0,1.0,2.3,3.0,20.0,1.0,E ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2020-11-19,21.9,31.2,26.6,75.0,0.0,8.8,3.0,360.0,2.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2020-10-30,21.8,29.6,25.1,80.0,0.0,10.8,3.0,90.0,2.0,E ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2020-10-20,21.0,30.4,25.6,78.0,0.0,0.5,3.0,90.0,1.0,E ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2020-10-15,20.0,32.8,27.2,62.0,0.0,9.1,3.0,360.0,2.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2020-09-30,20.8,31.2,26.3,69.0,0.0,8.8,3.0,50.0,2.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2020-09-10,21.0,28.6,25.2,73.0,0.0,9.0,2.0,360.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2020-09-05,20.2,29.8,25.2,71.0,0.0,9.0,2.0,360.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2020-08-31,20.0,30.0,25.5,69.0,0.0,9.6,2.0,360.0,1.0,E ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2020-08-26,19.0,30.4,24.6,68.0,0.0,10.2,5.0,360.0,2.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2020-08-21,19.6,29.2,25.0,57.0,0.0,9.3,3.0,120.0,2.0,NE,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2020-08-11,21.0,29.2,24.5,80.0,0.0,9.0,2.0,90.0,1.0,E ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2020-08-06,19.9,29.4,24.4,75.0,0.0,8.5,3.0,360.0,2.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2020-08-01,19.4,29.0,23.5,76.0,0.0,9.8,3.0,300.0,2.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2020-07-27,19.4,28.8,22.6,65.0,0.0,9.6,2.0,180.0,1.0,S ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2020-07-22,19.8,28.6,23.9,81.0,0.0,6.5,3.0,360.0,2.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2020-07-17,20.0,29.7,24.3,71.0,0.0,9.0,3.0,360.0,2.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2020-07-02,20.4,28.0,23.8,81.0,0.0,9.5,2.0,360.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2020-06-27,19.4,28.8,23.4,78.0,0.0,8.3,3.0,360.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2020-06-22,20.0,29.2,24.6,78.0,0.0,7.3,2.0,360.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2020-06-17,21.0,29.6,24.5,77.0,0.0,7.5,2.0,360.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2020-06-12,19.4,28.5,23.6,73.0,0.0,6.7,1.0,360.0,1.0,E ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2020-06-07,20.6,28.0,23.9,87.0,2.0,3.0,3.0,360.0,1.0,NE,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2020-05-23,21.6,28.4,24.9,86.0,0.0,5.5,2.0,90.0,1.0,E ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2020-05-13,21.2,28.6,25.1,80.0,0.0,5.3,2.0,90.0,1.0,E ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2020-05-08,22.0,30.0,26.3,81.0,0.0,9.6,2.0,90.0,1.0,E ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2020-04-23,21.4,29.2,25.4,83.0,0.0,9.7,2.0,360.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2020-04-18,21.4,29.2,25.4,82.0,26.5,1.4,2.0,360.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2020-04-13,21.0,27.8,24.7,82.0,0.5,5.8,2.0,360.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2020-04-03,21.4,29.2,22.8,92.0,7.0,6.0,3.0,180.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2020-03-19,21.2,28.8,24.2,86.0,7.0,7.5,3.0,360.0,2.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2020-03-14,20.6,28.4,24.7,87.0,71.0,4.5,1.0,180.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2020-02-28,20.4,27.6,23.5,90.0,42.0,6.1,2.0,360.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2020-02-23,20.6,27.0,24.0,84.0,0.0,1.4,2.0,300.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2020-02-13,21.0,28.4,24.1,88.0,4.0,6.0,2.0,360.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2020-02-03,21.4,27.0,22.9,91.0,16.2,3.6,2.0,200.0,1.0,C ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2020-01-29,22.0,28.5,24.6,86.0,0.0,6.1,2.0,40.0,1.0,S ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2020-01-24,21.4,26.4,23.8,90.0,20.0,0.1,1.0,200.0,1.0,E ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2020-01-19,21.4,27.6,24.8,85.0,4.5,6.9,2.0,360.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2019-12-25,22.0,27.4,23.4,88.0,35.5,7.5,2.0,200.0,1.0,S ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2019-12-20,22.0,31.0,25.9,74.0,7.0,6.8,5.0,130.0,2.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2019-12-10,22.0,32.2,27.0,68.0,0.0,9.7,2.0,360.0,1.0,E ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2019-11-30,22.0,30.8,25.8,74.0,0.0,8.8,4.0,360.0,2.0,S ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2019-11-25,22.0,33.1,27.3,65.0,0.0,9.4,2.0,300.0,1.0,S ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2019-11-20,21.0,32.6,27.4,64.0,0.0,6.5,2.0,90.0,1.0,E ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2019-11-15,22.0,34.2,26.9,68.0,23.0,6.0,10.0,180.0,5.0,S ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2019-11-10,20.0,34.6,28.5,59.0,0.0,9.5,3.0,90.0,2.0,E ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2019-11-05,19.0,31.4,26.0,68.0,0.0,4.4,3.0,360.0,2.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
2019-10-26,20.0,32.0,26.7,62.0,0.0,10.5,1.0,90.0,1.0,E ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0
