date,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car,Station Name,Latitude,Longitude,Elevation,formatted_date,image_path,color_mean_R,color_mean_G,color_mean_B,color_median_R,color_median_G,color_median_B,color_std_R,color_std_G,color_std_B,ndvi,contrast,correlation,energy,homogeneity,class
2021-07-02,19.4,29.0,23.4,70.0,0.0,9.0,2.0,130.0,2.0,SE,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0,2021-07-02,/Users/rau/Desktop/Asa/NDVI_Stasiun Geofisika Nganjuk (3)/2021-07-02.png,120.42534637451172,202.23471069335938,80.31714630126953,136.0,213.0,71.0,55.31848907470703,22.338224411010742,34.12797927856445,0.30246472358703613,5578.943198138374,0.4886612192456059,0.4949521988618007,9.433216535776985,8
2021-06-27,20.6,28.4,24.6,82.0,0.0,7.2,2.0,120.0,1.0,E ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0,2021-06-27,/Users/rau/Desktop/Asa/NDVI_Stasiun Geofisika Nganjuk (3)/2021-06-27.png,93.77989196777344,178.20318603515625,107.5329818725586,32.0,164.0,133.0,94.88340759277344,34.274192810058594,43.294334411621094,0.4511847496032715,3552.373747519592,0.5963336530168631,0.6489127885093419,6.730814870907365,3
2021-06-22,20.2,27.6,23.5,89.0,0.0,3.9,2.0,320.0,1.0,NW,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0,2021-06-22,/Users/rau/Desktop/Asa/NDVI_Stasiun Geofisika Nganjuk (3)/2021-06-22.png,120.92311096191406,205.74864196777344,79.99882507324219,131.0,211.0,75.0,42.885154724121094,15.112081527709961,25.957605361938477,0.2879040837287903,5297.913230580281,0.46182432784853245,0.49105087298036787,9.145194695172016,8
2021-06-07,20.8,28.4,24.8,79.0,0.0,5.8,3.0,360.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0,2021-06-07,/Users/rau/Desktop/Asa/NDVI_Stasiun Geofisika Nganjuk (3)/2021-06-07.png,100.49820709228516,196.36192321777344,92.71282958984375,105.0,204.0,91.0,50.003562927246094,21.91023826599121,30.300888061523438,0.3697967827320099,5095.698504286088,0.47451257930708757,0.48972596374260785,9.612389367554933,8
2021-06-02,20.0,28.4,24.3,85.0,7.0,3.3,3.0,130.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0,2021-06-02,/Users/rau/Desktop/Asa/NDVI_Stasiun Geofisika Nganjuk (3)/2021-06-02.png,98.08209228515625,198.38270568847656,94.5213851928711,103.0,204.0,92.0,37.843082427978516,16.915029525756836,22.018877029418945,0.3655666410923004,4742.363889737735,0.45628302167532814,0.5005717945055175,9.068077360709658,8
2021-05-18,21.4,28.1,24.4,80.0,0.0,8.1,3.0,360.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0,2021-05-18,/Users/rau/Desktop/Asa/NDVI_Stasiun Geofisika Nganjuk (3)/2021-05-18.png,50.60219955444336,179.05128479003906,121.77034759521484,48.0,180.0,122.0,15.551958084106445,11.039213180541992,9.33635425567627,0.5683733224868774,2820.46466033401,0.6112023957215078,0.528609233452444,8.160087452744438,2
2021-05-03,20.2,29.2,24.6,81.0,0.0,8.9,2.0,30.0,2.0,SE,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0,2021-05-03,/Users/rau/Desktop/Asa/NDVI_Stasiun Geofisika Nganjuk (3)/2021-05-03.png,154.36671447753906,214.49249267578125,59.19728469848633,167.0,219.0,51.0,40.71161651611328,11.580952644348145,25.06917953491211,0.18206623196601868,6189.80360812299,0.4950654273477987,0.48969537596042223,8.796955117083314,0
2021-04-23,19.6,28.0,23.4,76.0,0.0,9.8,2.0,20.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0,2021-04-23,/Users/rau/Desktop/Asa/NDVI_Stasiun Geofisika Nganjuk (3)/2021-04-23.png,162.0538330078125,215.9317169189453,54.45842742919922,178.0,221.0,44.0,42.47924041748047,11.41883373260498,26.12650489807129,0.16190029680728912,6518.2815284736125,0.5046562409241752,0.49419779864803015,8.73613570967684,0
2021-04-18,20.4,27.6,22.6,80.0,0.0,8.7,3.0,180.0,2.0,S ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0,2021-04-18,/Users/rau/Desktop/Asa/NDVI_Stasiun Geofisika Nganjuk (3)/2021-04-18.png,151.8665771484375,213.3704376220703,60.73549270629883,170.0,219.0,50.0,47.37556838989258,13.109204292297363,29.0393009185791,0.19403648376464844,6305.204093238926,0.49564728737526925,0.4893120421862634,9.085116799001707,0
2021-04-08,20.8,27.3,23.4,89.0,18.0,1.5,4.0,270.0,2.0,W ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0,2021-04-08,/Users/rau/Desktop/Asa/NDVI_Stasiun Geofisika Nganjuk (3)/2021-04-08.png,153.13377380371094,213.50735473632812,59.92793273925781,170.0,219.0,50.0,45.81608200073242,14.045929908752441,28.18012237548828,0.1898615062236786,6287.99416978416,0.5074400942853015,0.49422515437576486,8.89485910802209,0
2021-04-03,20.4,29.0,25.3,74.0,0.0,2.3,2.0,330.0,2.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0,2021-04-03,/Users/rau/Desktop/Asa/NDVI_Stasiun Geofisika Nganjuk (3)/2021-04-03.png,72.11930084228516,191.8512420654297,109.31626892089844,69.0,191.0,111.0,14.943687438964844,6.276443004608154,8.495738983154297,0.45894479751586914,2613.900461101851,0.6490263104041739,0.5526025853248333,7.2899075041120955,2
2021-03-24,20.4,27.7,24.3,85.0,17.3,5.0,2.0,20.0,1.0,NE,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0,2021-03-24,/Users/rau/Desktop/Asa/NDVI_Stasiun Geofisika Nganjuk (3)/2021-03-24.png,93.10889434814453,182.7851104736328,104.2479476928711,41.0,175.0,127.0,84.4637222290039,31.589397430419922,40.75539016723633,0.4401942193508148,4179.092450636019,0.5618979203334984,0.6074846839876897,8.011358839343231,6
2021-03-19,20.2,29.4,25.1,78.0,82.0,4.6,3.0,360.0,2.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0,2021-03-19,/Users/rau/Desktop/Asa/NDVI_Stasiun Geofisika Nganjuk (3)/2021-03-19.png,174.49192810058594,217.9769744873047,47.368961334228516,191.0,223.0,36.0,44.800804138183594,11.884536743164062,27.040903091430664,0.13096222281455994,7135.979411557964,0.4700797846474627,0.4933113376713924,8.70306763459175,0
2021-03-14,20.0,26.2,22.5,88.0,0.0,4.0,2.0,340.0,1.0,NE,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0,2021-03-14,/Users/rau/Desktop/Asa/NDVI_Stasiun Geofisika Nganjuk (3)/2021-03-14.png,129.3343048095703,185.053466796875,93.3447265625,32.0,156.0,137.0,110.09620666503906,41.13641357421875,51.07014846801758,0.3434148132801056,2395.9439533476802,0.6841198192252076,0.7701910581754781,4.2529415210152255,3
